                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.35177,                0.21974,                0.79767,                0.99839,                0.98215,                 0.9902,                0.96455,                0.35387,                0.20046,                0.79614,               0.000614,               0.000614,               0.000614
                    142,                0.37112,                 0.2268,                0.80348,                0.99855,                0.98019,                0.98998,                0.95078,                0.38968,                0.20583,                0.80426,              0.0006041,              0.0006041,              0.0006041
                    143,                0.37025,                 0.2264,                0.80253,                 0.9984,                0.99058,                0.99494,                  0.962,                0.37476,                0.20691,                0.80002,              0.0005942,              0.0005942,              0.0005942
                    144,                0.35003,                0.22133,                0.79824,                0.99806,                0.97966,                0.99002,                0.95964,                 0.3602,                0.19998,                0.79283,              0.0005843,              0.0005843,              0.0005843
                    145,                0.33838,                0.21565,                0.80028,                0.99805,                0.98273,                 0.9911,                0.96665,                0.35797,                 0.1972,                0.79532,              0.0005744,              0.0005744,              0.0005744
                    146,                0.35114,                0.21926,                0.79881,                0.99855,                0.98423,                0.99164,                0.96308,                0.35282,                0.19536,                0.79695,              0.0005645,              0.0005645,              0.0005645
                    147,                 0.3427,                0.21933,                 0.7985,                0.99872,                0.98764,                0.99473,                0.96197,                0.37744,                 0.2073,                0.79921,              0.0005546,              0.0005546,              0.0005546
                    148,                0.33766,                0.21474,                0.79584,                0.99887,                0.97698,                0.98933,                0.96591,                0.34174,                0.19363,                0.79293,              0.0005447,              0.0005447,              0.0005447
                    149,                0.33061,                0.21313,                0.79683,                0.99824,                0.98583,                0.99224,                0.96736,                0.35264,                0.19463,                0.79637,              0.0005348,              0.0005348,              0.0005348
                    150,                0.32511,                0.20899,                0.79708,                0.99854,                0.97828,                0.99007,                0.96501,                0.34917,                0.19135,                0.79639,              0.0005249,              0.0005249,              0.0005249
                    151,                0.32003,                0.20895,                0.79678,                0.99823,                0.98128,                 0.9907,                0.95966,                0.36929,                0.19636,                0.80018,               0.000515,               0.000515,               0.000515
